,2017,1999–2001,1989–1991,1979–1981,1969–1971,1959–1961,1949–1951,1939–1941,1929–1931,1919–1921,1909–1911,1900–1902
0,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000"
1,"99,370","99,239","98,961","98,607","97,755","97,087","96,661","94,762","93,440","91,745","87,505","86,426"
5,"99,261","99,095","98,754","98,333","97,395","96,643","96,077","93,624","91,294","88,505","82,718","80,548"
10,"99,199","99,008","98,627","98,160","97,151","96,375","95,726","93,054","90,346","87,184","81,249","78,775"
15,"99,107","98,890","98,464","97,972","96,904","96,107","95,366","92,508","89,561","86,156","80,261","77,681"
20,"98,749","98,426","97,854","97,316","96,126","95,491","94,695","91,617","88,220","84,440","78,792","75,984"
25,"98,071","97,747","97,049","96,361","95,040","94,631","93,791","90,385","86,359","82,252","76,675","73,472"
30,"97,235","97,114","96,166","95,430","94,072","93,826","92,861","89,009","84,346","79,890","74,378","70,747"
35,"96,284","96,385","95,091","94,501","92,997","92,889","91,760","87,371","82,075","77,514","71,614","67,752"
40,"95,196","95,389","93,761","93,345","91,541","91,572","90,207","85,246","79,357","74,432","68,297","64,447"
45,"93,903","93,940","92,139","91,649","89,369","89,492","87,819","82,336","75,882","71,244","64,518","60,849"
50,"92,105","91,818","89,865","89,007","86,070","86,199","84,158","78,254","71,518","67,553","60,118","56,736"
55,"89,365","88,897","86,492","84,936","81,139","81,039","78,781","72,627","65,981","62,965","54,970","51,939"
60,"85,344","84,551","81,378","79,012","73,958","73,887","71,246","65,142","58,909","56,917","48,343","45,895"
65,"79,838","78,241","73,971","70,646","64,318","64,177","61,566","55,776","50,154","49,218","40,264","38,736"
70,"72,785","69,491","64,107","59,681","52,296","52,244","49,950","44,588","39,516","39,668","31,023","30,217"
75,"63,524","57,688","51,385","46,272","38,797","38,950","36,756","31,864","27,718","28,316","21,213","21,076"
80,"51,095","42,769","36,749","31,810","24,921","25,300","25,237","18,995","16,172","17,128","11,942","12,084"
85,"35,439","26,527","21,815","18,020","13,168","12,845","11,750","8,693","7,107","7,920","5,059","5,179"
90,"18,687","12,473","9,878","7,732","5,107","4,609","4,197","2,787","2,283","2,527","1,502","1,508"
95,"6,070","3,855","2,927","2,279","1,326",970,955,586,451,556,289,262
100,971,645,529,423,222,117,121,78,40,62,33,22
